respondent_id,task_id,alternative_id,choice,intelligence,context_window,privacy,price
1,1,A,1,Advanced,Standard,Default,20.0
1,1,B,0,Advanced,Standard,Private,60.0
1,1,None,0,,,,
1,2,A,1,Expert,Standard,Default,20.0
1,2,B,0,Expert,Long,Private,130.0
1,2,None,0,,,,
1,3,A,0,Advanced,Long,Private,130.0
1,3,B,1,Basic,Long,Default,20.0
1,3,None,0,,,,
1,4,A,1,Advanced,Long,Private,60.0
1,4,B,0,Expert,Long,Default,20.0
1,4,None,0,,,,
1,5,A,0,Advanced,Extended,Default,130.0
1,5,B,1,Expert,Standard,Private,60.0
1,5,None,0,,,,
1,6,A,0,Expert,Extended,Private,20.0
1,6,B,0,Advanced,Long,Default,20.0
1,6,None,1,,,,
1,7,A,1,Advanced,Extended,Private,60.0
1,7,B,0,Expert,Standard,Default,130.0
1,7,None,0,,,,
1,8,A,0,Basic,Long,Default,130.0
1,8,B,1,Advanced,Extended,Private,20.0
1,8,None,0,,,,
1,9,A,0,Basic,Standard,Private,130.0
1,9,B,0,Advanced,Standard,Default,130.0
1,9,None,1,,,,
2,1,A,0,Advanced,Standard,Default,20.0
2,1,B,1,Advanced,Standard,Private,60.0
2,1,None,0,,,,
2,2,A,1,Expert,Standard,Default,20.0
2,2,B,0,Expert,Long,Private,130.0
2,2,None,0,,,,
2,3,A,0,Advanced,Long,Private,130.0
2,3,B,1,Basic,Long,Default,20.0
2,3,None,0,,,,
2,4,A,0,Advanced,Long,Private,60.0
2,4,B,1,Expert,Long,Default,20.0
2,4,None,0,,,,
2,5,A,0,Advanced,Extended,Default,130.0
2,5,B,1,Expert,Standard,Private,60.0
2,5,None,0,,,,
2,6,A,1,Expert,Extended,Private,20.0
2,6,B,0,Advanced,Long,Default,20.0
2,6,None,0,,,,
2,7,A,0,Advanced,Extended,Private,60.0
2,7,B,0,Expert,Standard,Default,130.0
2,7,None,1,,,,
2,8,A,0,Basic,Long,Default,130.0
2,8,B,1,Advanced,Extended,Private,20.0
2,8,None,0,,,,
2,9,A,0,Basic,Standard,Private,130.0
2,9,B,0,Advanced,Standard,Default,130.0
2,9,None,1,,,,
3,1,A,0,Advanced,Standard,Default,20.0
3,1,B,0,Advanced,Standard,Private,60.0
3,1,None,1,,,,
3,2,A,1,Expert,Standard,Default,20.0
3,2,B,0,Expert,Long,Private,130.0
3,2,None,0,,,,
3,3,A,0,Advanced,Long,Private,130.0
3,3,B,0,Basic,Long,Default,20.0
3,3,None,1,,,,
3,4,A,1,Advanced,Long,Private,60.0
3,4,B,0,Expert,Long,Default,20.0
3,4,None,0,,,,
3,5,A,0,Advanced,Extended,Default,130.0
3,5,B,0,Expert,Standard,Private,60.0
3,5,None,1,,,,
3,6,A,1,Expert,Extended,Private,20.0
3,6,B,0,Advanced,Long,Default,20.0
3,6,None,0,,,,
3,7,A,1,Advanced,Extended,Private,60.0
3,7,B,0,Expert,Standard,Default,130.0
3,7,None,0,,,,
3,8,A,0,Basic,Long,Default,130.0
3,8,B,1,Advanced,Extended,Private,20.0
3,8,None,0,,,,
3,9,A,0,Basic,Standard,Private,130.0
3,9,B,0,Advanced,Standard,Default,130.0
3,9,None,1,,,,
4,1,A,0,Advanced,Standard,Default,20.0
4,1,B,0,Advanced,Standard,Private,60.0
4,1,None,1,,,,
4,2,A,0,Expert,Standard,Default,20.0
4,2,B,0,Expert,Long,Private,130.0
4,2,None,1,,,,
4,3,A,0,Advanced,Long,Private,130.0
4,3,B,1,Basic,Long,Default,20.0
4,3,None,0,,,,
4,4,A,0,Advanced,Long,Private,60.0
4,4,B,1,Expert,Long,Default,20.0
4,4,None,0,,,,
4,5,A,0,Advanced,Extended,Default,130.0
4,5,B,1,Expert,Standard,Private,60.0
4,5,None,0,,,,
4,6,A,1,Expert,Extended,Private,20.0
4,6,B,0,Advanced,Long,Default,20.0
4,6,None,0,,,,
4,7,A,0,Advanced,Extended,Private,60.0
4,7,B,0,Expert,Standard,Default,130.0
4,7,None,1,,,,
4,8,A,0,Basic,Long,Default,130.0
4,8,B,1,Advanced,Extended,Private,20.0
4,8,None,0,,,,
4,9,A,0,Basic,Standard,Private,130.0
4,9,B,0,Advanced,Standard,Default,130.0
4,9,None,1,,,,
5,1,A,0,Advanced,Standard,Default,20.0
5,1,B,0,Advanced,Standard,Private,60.0
5,1,None,1,,,,
5,2,A,1,Expert,Standard,Default,20.0
5,2,B,0,Expert,Long,Private,130.0
5,2,None,0,,,,
5,3,A,0,Advanced,Long,Private,130.0
5,3,B,0,Basic,Long,Default,20.0
5,3,None,1,,,,
5,4,A,1,Advanced,Long,Private,60.0
5,4,B,0,Expert,Long,Default,20.0
